"%s already exist","%s มีอยู่แล้ว"
"%s already exists","%s มีอยู่แล้ว"
"-- Please Select --","-- กรุณาเลือก --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","เพิ่มรหัสร้านค้าไปที่ Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","ขั้นสูง"
"Allow countries","ประเทศที่อนุญาต"
"Allowed IPs (comma separated)","IP ที่อนุญาต (แยกด้วยจุลภาค)"
"Are you sure?","คุณแน่ใจ?"
"Back","กลับ"
"Backup options","Backup options"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","ก่อนการแก้ไข code ร้านค้ากรุณาดู ให้แน่ใจว่ามันไม่ถูกใช้อยู่ใน index.php"
"Before modifying the website code please make sure that it is not used in index.php","ก่อนการแก้ไข code เว็บไซต์กรุณาดู ให้แน่ใจ มันไม่ถูกใช้อยู่ใน index.php"
"Billing Agreements","ข้อตกลงการเรียกเก็บเงิน"
"Block with name ""%s"" already exists","บล็อคชื่อ ""%s"" มีอยู่แล้ว"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","ไม่สามารถคืนความต้องการของ object"
"Can't retrieve entity config: %s","ไม่สามารถเรียกคืน entity config: %s"
"Cancel","ยกเลิก"
"Cannot Delete Email Template","ไม่สามารถลบเทมเพลตอีเมล์ได้"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","โค้ด"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","ไฟล์ ควบคุม ถูกโหลดแล้วแต่ไม่มีคลาส"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","ระยะเวลาของ Cookie"
"Cookie Path","Cookie Path"
"Copyright","Copyright"
"Countries Options","ตัวเลือกประเทศ"
"Create Store","สร้างร้านค้า"
"Create Store View","สร้างมุมมองร้าน"
"Create Website","สร้างเว็บไซต์"
"Current package name","ชื่อแพ็คเกจปัจจุบัน"
"Custom Design","ดีไซน์เอง"
"Custom admin URL","Custom admin URL"
"Custom email 1","ปรับปรุง email 1"
"Custom email 2","ปรับปรุง email 2"
"Customer support","บริการลูกค้า"
"Date From","ตั้งแต่วันที่"
"Date To","ถึงวันที่"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","ค่าเริ่มต้น"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","หน้าเริ่มต้น"
"Default Robots","Default Robots"
"Default Store","ร้านค้าเริ่มต้น"
"Default Store View","มุมมองร้านค้าเริ่มต้น"
"Default Title","Default Title"
"Default Country","ประเทศตั้งต้น"
"Default no-route url","ค่าเริ่มต้นไม่กำหนด Url"
"Default web url","URL เว็บเริ่มต้น"
"Delete","ลบ"
"Delete Store","ลบร้านค้า"
"Delete Store View","ลบมุมมองร้าน"
"Delete Website","ลบเว็บไซต์"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","ดีไซน์"
"Design Change","เปลี่ยนแปลงดีไซน์"
"Developer","ผู้พัฒนา"
