"Abandoned carts","รถเข็นที่ถูกละทิ้ง"
"Action","Action"
"Add to Cart","หยิบใส่รถเข็น"
"Add to Compare","เพิ่มไปยังการเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปรายการโปรด"
"Applied Coupon","คูปองที่ถูกนำไปใช้"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","สินค้าขายดี"
"Bought from wishlists","ซื้อจากรายการโปรด"
"CSV","CSV"
"Carrier/Method","ผู้ขนส่ง/วิธีการ"
"Carts","รถเข็น"
"Coupons","คูปอง"
"Created at","สร้างขึ้นเมื่อ"
"Customer","ลูกค้า"
"Customer Name","ชื่อลูกค้า"
"Customer Tags","Tags ลูกค้า"
"Customers","ลูกค้า"
"Customers Report","รายงานลูกค้า"
"Customers Reviews","รีวิวของลูกค้า"
"Customers Tags","Tags ลูกค้า"
"Customers by number of orders","ลูกค้าตามจำนวนคำสั่งซื้อ"
"Customers by orders total","ลูกค้าตามคำสั่งซื้อทั้งหมด"
"Customers that have wishlist: %s%","ลูกค้าที่มีรายการโปรด: %s%"
"Day","วัน"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","รายละเอียด"
"Discounts","ส่วนลด"
"Downloads","Downloads"
"Email","อีเมล์"
"Excel","Excel"
"First Name","ชื่อ"
"Guest","ลูกค้าที่ไม่ได้ลงทะเบียน"
"Hits","ดู"
"ID","รหัส"
"Invalid date specified","Invalid date specified"
"Invoiced","ออกใบส่งของ"
"Items Ordered","รายการที่สั่งซื้อ"
"Items in Cart","รายการในรถเข็น"
"Last Name","นามสกุล"
"Last Review","รีวิวสินค้าล่าสุด"
"Link","Link"
"Low stock","สินค้าที่ลดลง"
"Month","เดือน"
"Most Viewed","ถูกเรียกดูมากที่สุด"
"Most viewed","เรียกดูมากที่สุด"
"Name","ชื่อ"
"New Accounts","บัญชีผู้ใช้ใหม่"
"Number Added","จำนวนที่เพิ่ม"
"Number Fulfilled","จำนวนที่ดำเนินการสำเร็จ"
"Number Of Historical Uses","จำนวนการใช้ที่ผ่านมา"
"Number Of Reviews","จำนวนรีวิวสินค้า"
"Number Of Uses","จำนวนการใช้"
"Number Purchased","จำนวนที่ซื้อ"
"Number Viewed","จำนวนที่ดู"
"Number of Items","จำนวนรายการสินค้า"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","จำนวนบัญชีผู้ใช้ใหม่"
"Number of Orders","จำนวนของคำสั่งซื้อ"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","จำนวนรีวิวสินค้า"
"Number of Total Tags","จำนวนของ Tags ทั้งหมด"
