"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s ถูกเพิ่มไปรายการโปรดของคุณแล้ว คลิก <a href=""%2$s"">ที่นี่</a>เพื่อเลือกซื้อสินค้าต่อ"
"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping.","%1$s ถูกเพิ่มไปรายการโปรดของคุณแล้ว คลิก <a href="%2$s">ที่นี่</a>เพื่อเลือกซื้อสินค้าต่อ"
"%s's Wishlist","%s's รายการโปรด"
"* Required Fields","* ฟิลด์ที่ต้องการ"
"Add All to Cart","เพิ่มทั้งหมดไปยังรถเข็น"
"Add to Cart","หยิบใส่รถเข็น"
"Add to Wishlist","เพิ่มไปรายการโปรด"
"Added On","เพิ่มเมื่อ"
"Are You sure?","คุณแน่ใจ?"
"Are you sure you want to remove this product from your wishlist?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจากรายการโปรดของคุณ?"
"Are you sure you would like to remove this item from the wishlist?","คุณแน่ใจว่าต้องการลบรายการนี้ออกจากรายการโปรด?"
"Back","กลับ"
"Can't save description %s","ไม่สามารถบันทึกประเภทนี้ได้%s"
"Cannot create wishlist","ไม่สามารถสร้างรายการโปรด"
"Cannot specify product","ไม่สามารถระบุสินค้า"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","เลือกตัวเลือกนี้หากคุณต้องการเพิ่มลิงค์ไปยัง rss feed ไปยังรายการโปรดของคุณ"
"Comment","ข้อคิดเห็น"
"Email Sender","ผู้ส่งอีเมล์"
"Email Template","เทมเพลตอีเมล์"
"Email address can't be empty.","อีเมล์ไม่ว่าง"
"Email addresses, separated by commas","อีเมล์ แยกด้วยเครื่องหมายจุลภาค"
"Enabled","เปิดการใช้งาน"
"General Options","ตัวเลือกทั่วไป"
"Go to Wishlist","ไปยังรายการโปรด"
"Last Added Items","เพิ่ม รายการ ล่าสุด"
"Message","ข้อความ"
"My Wishlist","รายการโปรด"
"My Wishlist (%d item)","รายการโปรด (%d รายการ)"
"My Wishlist (%d items)","รายการโปรด (%d รายการ)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","กรุณาใส่อีเมล์ที่ถูกต้องและแบ่งด้วยเครื่องหมายจุลภาค ตัวอย่างเช่น johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","กรุณาใส่ข้อความข้อคิดเห็นของคุณ..."
"Product","สินค้า"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","ลบรายการสินค้าออก"
"Share Wishlist","แบ่งปันรายการโปรด"
"Share Your Wishlist","แบ่งปันรายการโปรดของคุณ"
"Share options","ตัวเลือกการ ใช้งานร่วมกัน"
"Sharing Information","กำลังแบ่งข้อมูล"
"There was an error while adding item to wishlist.","มีความผิดพลาดขณะเพิ่มรายการสินค้าลงในรายการโปรด"
"There was an error while adding item to wishlist: %s","มีความผิดพลาดขณะเพิ่มรายการสินค้าลงในรายการโปรด: %s"
"There was an error while deleting item from wishlist.","มีความผิดพลาดขณะลบรายการสินค้าจากรายการโปรด"
"There was an error while deleting item from wishlist: %s","มีความผิดพลาดขณะลบรายการสินค้าจากรายการโปรด: %s"
"This product(s) is currently out of stock:","สินค้าหมดสต๊อก"
"Update Wishlist","ปรับปรุงรายการโปรด"
"View Product","ดูสินค้า"
"Wishlist","รายการโปรด"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","ใช้รายการโปรดร่วมกัน"
"Wishlist is empty now.","ไม่มีรายการโปรด"
"You have no items in your wishlist.","คุณยังไม่มีรายการสินค้าในรายการโปรด"
"You input not valid email address.","คุณใส่ที่อยู่อีเมล์ไม่ถูกต้อง."
"Your Wishlist was successfully shared","รายการโปรดของคุณถูกแบ่งปันเรียบร้อยแล้ว"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","รายการโปรด - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","รายการโปรด"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
